,Ad Clicks,Ad Impressions,Ad Spend,Ad Text,Age,Date,Interests,Language,Location,Number,Placements
41,0,0,,Your life matter.My life matter. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:57 AM PDT P(1)0002178 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters ~:r-,I,--. -d Your life matter.My life matter. Black matters. Black Matters Community 224,537 people We this. lip Like Page P(1)0002179 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:57 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:57 AM PDT P(1)0002178 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters ~:r-,I,--. -d Your life matter.My life matter. Black matters. Black Matters Community 224,537 people We this. lip Like Page P(1)0002179 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002178.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:57 AM PDT P(1)0002178 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters ~:r-,I,--. -d Your life matter.My life matter. Black matters. Black Matters Community 224,537 people We this. lip Like Page P(1)0002179 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
42,7,249,85.63,Your life matter.My life matter. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 249 Ad Clicks 7 Ad Spend 85.63 RUB Ad Creation Date 06/10/15 03:31:26 AM PDT P(1)0002180 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Your life matter,My life matter. Black matters. NEVER fORGEY ,dr  Like Page Black Matters Community 224,537 people like this. P(1)0002181 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 03:31:26 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 249 Ad Clicks 7 Ad Spend 85.63 RUB Ad Creation Date 06/10/15 03:31:26 AM PDT P(1)0002180 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Your life matter,My life matter. Black matters. NEVER fORGEY ,dr  Like Page Black Matters Community 224,537 people like this. P(1)0002181 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002180.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 249 Ad Clicks 7 Ad Spend 85.63 RUB Ad Creation Date 06/10/15 03:31:26 AM PDT P(1)0002180 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Your life matter,My life matter. Black matters. NEVER fORGEY ,dr  Like Page Black Matters Community 224,537 people like this. P(1)0002181 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
43,0,0,,Your life matter.My life matter. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:56 AM PDT P(1)0002184 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters ~:r-,I,--. -d Your life matter.My life matter. Black matters. Black Matters Community 224,537 people We this. lip Like Page P(1)0002185 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:56 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:56 AM PDT P(1)0002184 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters ~:r-,I,--. -d Your life matter.My life matter. Black matters. Black Matters Community 224,537 people We this. lip Like Page P(1)0002185 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002184.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:56 AM PDT P(1)0002184 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters ~:r-,I,--. -d Your life matter.My life matter. Black matters. Black Matters Community 224,537 people We this. lip Like Page P(1)0002185 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
44,7,207,69.56,Your life matter.My life matter. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 207 Ad Clicks 7 Ad Spend 69.56 RUB Ad Creation Date 06/10/15 03:30:43 AM PDT P(1)0002186 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Your life matter.My life matter. Black matters. Black Matters Community 224,537 people like this. ilk  Like Page P(1)0002187 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 03:30:43 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 207 Ad Clicks 7 Ad Spend 69.56 RUB Ad Creation Date 06/10/15 03:30:43 AM PDT P(1)0002186 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Your life matter.My life matter. Black matters. Black Matters Community 224,537 people like this. ilk  Like Page P(1)0002187 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002186.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 207 Ad Clicks 7 Ad Spend 69.56 RUB Ad Creation Date 06/10/15 03:30:43 AM PDT P(1)0002186 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Your life matter.My life matter. Black matters. Black Matters Community 224,537 people like this. ilk  Like Page P(1)0002187 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
45,2,157,50.16,Your life matter.My life matter. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 157 Ad Clicks 2 Ad Spend 50.16 RUB Ad Creation Date 06/10/15 02:58:54 AM PDT P(1)0002190 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Your life matter,My life matter. Black matters. Black Matters Community 224,537 people like this. ,k Like Page P(1)0002191 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:54 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 157 Ad Clicks 2 Ad Spend 50.16 RUB Ad Creation Date 06/10/15 02:58:54 AM PDT P(1)0002190 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Your life matter,My life matter. Black matters. Black Matters Community 224,537 people like this. ,k Like Page P(1)0002191 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002190.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 157 Ad Clicks 2 Ad Spend 50.16 RUB Ad Creation Date 06/10/15 02:58:54 AM PDT P(1)0002190 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Your life matter,My life matter. Black matters. Black Matters Community 224,537 people like this. ,k Like Page P(1)0002191 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
46,0,0,,We really can change the world if we stay united.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:20 AM PDT P(1)0002194 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. ,` Like Page P(1)0002195 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:20 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:20 AM PDT P(1)0002194 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. ,` Like Page P(1)0002195 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002194.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:20 AM PDT P(1)0002194 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. ,` Like Page P(1)0002195 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
47,3,66,25.87,We really can change the world if we stay united.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 66 Ad Clicks 3 Ad Spend 25.87 RUB Ad Creation Date 06/10/15 03:28:34 AM PDT P(1)0002196 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We really can change the world if we stay united. Black Matters Community 224,537 people like this. it I.,,'  f' P(1)0002197 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 03:28:34 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 66 Ad Clicks 3 Ad Spend 25.87 RUB Ad Creation Date 06/10/15 03:28:34 AM PDT P(1)0002196 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We really can change the world if we stay united. Black Matters Community 224,537 people like this. it I.,,'  f' P(1)0002197 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002196.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 66 Ad Clicks 3 Ad Spend 25.87 RUB Ad Creation Date 06/10/15 03:28:34 AM PDT P(1)0002196 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We really can change the world if we stay united. Black Matters Community 224,537 people like this. it I.,,'  f' P(1)0002197 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
48,0,0,,We really can change the world if we stay united.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:20 AM PDT P(1)0002200 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. lip Like Page P(1)0002201 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:20 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:20 AM PDT P(1)0002200 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. lip Like Page P(1)0002201 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002200.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:20 AM PDT P(1)0002200 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. lip Like Page P(1)0002201 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
49,8,311,105.62,We really can change the world if we stay united.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 311 Ad Clicks 8 Ad Spend 105.62 RUB Ad Creation Date 06/10/15 03:21:09 AM PDT P(1)0002202 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence~gges*ed Page Black Matters Sponsored We really can change the world if we stay united. NEVER FORGET o+ l_ik.- r'.:aqe Black Matters Community 224,537 people like this. P(1)0002203 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 03:21:09 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 311 Ad Clicks 8 Ad Spend 105.62 RUB Ad Creation Date 06/10/15 03:21:09 AM PDT P(1)0002202 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence~gges*ed Page Black Matters Sponsored We really can change the world if we stay united. NEVER FORGET o+ l_ik.- r'.:aqe Black Matters Community 224,537 people like this. P(1)0002203 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002202.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 311 Ad Clicks 8 Ad Spend 105.62 RUB Ad Creation Date 06/10/15 03:21:09 AM PDT P(1)0002202 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence~gges*ed Page Black Matters Sponsored We really can change the world if we stay united. NEVER FORGET o+ l_ik.- r'.:aqe Black Matters Community 224,537 people like this. P(1)0002203 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
50,4,204,65.61,We really can change the world if we stay united.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 204 Ad Clicks 4 Ad Spend 65.61 RUB Ad Creation Date 06/10/15 02:58:18 AM PDT P(1)0002206 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. ,k Like Page P(1)0002207 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:18 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 204 Ad Clicks 4 Ad Spend 65.61 RUB Ad Creation Date 06/10/15 02:58:18 AM PDT P(1)0002206 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. ,k Like Page P(1)0002207 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002206.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 204 Ad Clicks 4 Ad Spend 65.61 RUB Ad Creation Date 06/10/15 02:58:18 AM PDT P(1)0002206 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters We really can change the world if we stay united. Black Matters Community 224,537 people like this. ,k Like Page P(1)0002207 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
51,0,0,,Black matters because everyone's life matters,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:03 AM PDT P(1)0002210 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this, jdF  Like Page P(1)0002211 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:03 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:03 AM PDT P(1)0002210 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this, jdF  Like Page P(1)0002211 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002210.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:03 AM PDT P(1)0002210 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this, jdF  Like Page P(1)0002211 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
52,2,191,56.53,Black matters because everyone's life matters,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 191 Ad Clicks 2 Ad Spend 56.53 RUB Ad Creation Date 06/10/15 03:22:04 AM PDT P(1)0002212 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters NEVER fORGEY ,dr  Like Page Black Matters Community 224,537 people like this. P(1)0002213 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 03:22:04 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 191 Ad Clicks 2 Ad Spend 56.53 RUB Ad Creation Date 06/10/15 03:22:04 AM PDT P(1)0002212 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters NEVER fORGEY ,dr  Like Page Black Matters Community 224,537 people like this. P(1)0002213 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002212.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 191 Ad Clicks 2 Ad Spend 56.53 RUB Ad Creation Date 06/10/15 03:22:04 AM PDT P(1)0002212 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters NEVER fORGEY ,dr  Like Page Black Matters Community 224,537 people like this. P(1)0002213 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
53,0,0,,Black matters because everyone's life matters,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:01 AM PDT P(1)0002216 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this, jdF  Like Page P(1)0002217 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:01 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:01 AM PDT P(1)0002216 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this, jdF  Like Page P(1)0002217 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002216.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:58:01 AM PDT P(1)0002216 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this, jdF  Like Page P(1)0002217 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
54,7,250,83.22,Black matters because everyone's life matters,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 250 Ad Clicks 7 Ad Spend 83.22 RUB Ad Creation Date 06/10/15 03:27:56 AM PDT P(1)0002218 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this. ,dr Like Page P(1)0002219 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 03:27:56 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 250 Ad Clicks 7 Ad Spend 83.22 RUB Ad Creation Date 06/10/15 03:27:56 AM PDT P(1)0002218 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this. ,dr Like Page P(1)0002219 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002218.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 250 Ad Clicks 7 Ad Spend 83.22 RUB Ad Creation Date 06/10/15 03:27:56 AM PDT P(1)0002218 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters Black Matters Community 224,537 people like this. ,dr Like Page P(1)0002219 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
55,1,136,38.89,Black matters because everyone's life matters,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 136 Ad Clicks 1 Ad Spend 38.89 RUB Ad Creation Date 06/10/15 02:58:00 AM PDT P(1)0002222 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters iqvieb â€¢ ID Black Matters Community 224,537 people like this. ,dr Like Page P(1)0002223 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:58:00 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 136 Ad Clicks 1 Ad Spend 38.89 RUB Ad Creation Date 06/10/15 02:58:00 AM PDT P(1)0002222 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters iqvieb â€¢ ID Black Matters Community 224,537 people like this. ,dr Like Page P(1)0002223 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002222.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 136 Ad Clicks 1 Ad Spend 38.89 RUB Ad Creation Date 06/10/15 02:58:00 AM PDT P(1)0002222 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored Black matters because everyone's life matters iqvieb â€¢ ID Black Matters Community 224,537 people like this. ,dr Like Page P(1)0002223 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
56,0,0,,We can be heard only when we stand together. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:57:12 AM PDT P(1)0002226 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We can be heard only when we stand together. Black matters. Black Matters Community 224,537 people like this. jdF  Like Page P(1)0002227 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 02:57:12 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:57:12 AM PDT P(1)0002226 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We can be heard only when we stand together. Black matters. Black Matters Community 224,537 people like this. jdF  Like Page P(1)0002227 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002226.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 0 Ad Clicks 0 Ad Spend None Ad Creation Date 06/10/15 02:57:12 AM PDT P(1)0002226 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We can be heard only when we stand together. Black matters. Black Matters Community 224,537 people like this. jdF  Like Page P(1)0002227 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
57,4,203,74.07,We can be heard only when we stand together. Black matters.,"Age: 18 - 65+ Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 203 Ad Clicks 4 Ad Spend 74.07 RUB Ad Creation Date 06/10/15 03:26:57 AM PDT P(1)0002228 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We can be heard only when we stand together. Black matters. Black Matters Community 224,537 people like this. it I.,,'  f' P(1)0002229 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",06/10/15 03:26:57 AM PDT,N/A,"Language: English (UK) or English (US) Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 203 Ad Clicks 4 Ad Spend 74.07 RUB Ad Creation Date 06/10/15 03:26:57 AM PDT P(1)0002228 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We can be heard only when we stand together. Black matters. Black Matters Community 224,537 people like this. it I.,,'  f' P(1)0002229 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence",N/A,P(1)0002228.pdf,"Placements: News Feed on desktop computers or News Feed on mobile devices Ad Impressions 203 Ad Clicks 4 Ad Spend 74.07 RUB Ad Creation Date 06/10/15 03:26:57 AM PDT P(1)0002228 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on IntelligenceSuggested Page Black Matters Sponsored We can be heard only when we stand together. Black matters. Black Matters Community 224,537 people like this. it I.,,'  f' P(1)0002229 Redactions Completed at the Direction of Ranking Member of the US House Permanent Select Committee on Intelligence"
